row_num,longitude,latitude,temp
20300,-84.52083333,30.5625,19.3458
20400,-85.32083333,30.3875,19.3458
20500,-83.89583333,30.50416667,19.35
20600,-86.75416667,30.59583333,19.3542
20700,-83.99583333,30.42083333,19.3542
20800,-83.9375,30.52916667,19.3583
20900,-84.3375,30.6125,19.3625
21000,-85.1125,30.4625,19.3625
21100,-86.0375,30.5375,19.3667
21200,-84.80416667,30.4125,19.3667
21300,-84.0625,30.52916667,19.3708
21400,-85.52083333,30.37083333,19.3708
21500,-85.12083333,30.47916667,19.375
21600,-86.92916667,30.57083333,19.3792
21700,-85.54583333,30.3875,19.3792
21800,-85.05416667,30.5125,19.3833
21900,-87.1875,30.60416667,19.3875
22000,-85.77916667,30.39583333,19.3875
22100,-86.1875,30.5125,19.3917
22200,-87.1125,30.6375,19.3958
22300,-85.82916667,30.45416667,19.3958
22400,-86.07083333,30.57083333,19.4
22500,-85.77916667,30.3875,19.4
22600,-87.3125,30.54583333,19.4042
22700,-85.42083333,30.35416667,19.4042
22800,-84.62916667,30.4625,19.4083
22900,-83.92916667,30.6125,19.4125
23000,-84.74583333,30.42083333,19.4125
23100,-84.32916667,30.60416667,19.4167
23200,-85.8625,30.4125,19.4167
23300,-83.35416667,30.6125,19.4208
23400,-84.77916667,30.4125,19.4208
23500,-83.49583333,30.5875,19.425
23600,-84.4875,30.39583333,19.425
23700,-85.1625,30.5375,19.4292
23800,-85.74583333,30.3625,19.4292
23900,-83.9875,30.50416667,19.4333
24000,-85.22916667,30.32083333,19.4333
24100,-83.97916667,30.4625,19.4375
24200,-87.0125,30.6375,19.4417
24300,-84.0625,30.4375,19.4417
24400,-83.77916667,30.60416667,19.4458
24500,-85.67916667,30.42916667,19.4458
24600,-87.0875,30.60416667,19.45
24700,-86.0625,30.42083333,19.45
24800,-83.35416667,30.62083333,19.4542
24900,-85.92083333,30.42916667,19.4542
25000,-85.35416667,30.25416667,19.4542
25100,-86.72916667,30.44583333,19.4583
25200,-83.3875,30.62916667,19.4625
25300,-84.7125,30.39583333,19.4625
25400,-85.29583333,30.29583333,19.4625
25500,-87.3375,30.4875,19.4667
25600,-84.8125,30.34583333,19.4667
25700,-84.1875,30.5125,19.4708
25800,-85.99583333,30.34583333,19.4708
25900,-83.62083333,30.52916667,19.475
26000,-84.57916667,30.37083333,19.475
26100,-85.37083333,30.22916667,19.475
26200,-86.8875,30.4625,19.4792
26300,-84.9375,30.3125,19.4792
26400,-83.6375,30.47916667,19.4833
26500,-85.80416667,30.32916667,19.4833
26600,-86.82083333,30.49583333,19.4875
26700,-84.6375,30.32916667,19.4875
26800,-83.6125,30.5125,19.4917
26900,-84.77916667,30.32083333,19.4917
27000,-84.3625,30.52083333,19.4958
27100,-85.94583333,30.32083333,19.4958
27200,-83.4625,30.55416667,19.5
27300,-85.1625,30.3875,19.5
27400,-83.72916667,30.62083333,19.5042
27500,-83.85416667,30.42083333,19.5042
27600,-84.6375,30.2875,19.5042
27700,-83.6125,30.4875,19.5083
27800,-85.1625,30.3125,19.5083
27900,-83.70416667,30.4875,19.5125
28000,-85.70416667,30.3125,19.5125
28100,-84.3375,30.50416667,19.5167
28200,-86.07916667,30.32083333,19.5167
28300,-82.8875,30.55416667,19.5208
28400,-84.4125,30.3375,19.5208
28500,-83.12083333,30.57083333,19.525
28600,-86.10416667,30.35416667,19.525
28700,-83.1125,30.57916667,19.5292
28800,-86.1375,30.37083333,19.5292
28900,-83.12916667,30.6125,19.5333
29000,-86.10416667,30.37083333,19.5333
29100,-85.2875,30.22083333,19.5333
29200,-83.6375,30.4125,19.5375
29300,-84.7625,30.24583333,19.5375
29400,-83.60416667,30.39583333,19.5417
29500,-84.50416667,30.2625,19.5417
29600,-84.62083333,30.40416667,19.5458
29700,-85.52083333,30.27083333,19.5458
29800,-84.1125,30.44583333,19.55
29900,-85.5375,30.29583333,19.55
30000,-84.20416667,30.4875,19.5542
30100,-85.4625,30.2375,19.5542
30200,-83.77916667,30.37083333,19.5583
30300,-84.6375,30.22916667,19.5583
30400,-83.7875,30.3625,19.5625
30500,-84.80416667,30.20416667,19.5625
30600,-84.3875,30.34583333,19.5667
30700,-82.9625,30.57916667,19.5708
30800,-85.77916667,30.3125,19.5708
30900,-83.0875,30.5625,19.575
31000,-83.4625,30.32916667,19.575
31100,-84.90416667,30.20416667,19.575
31200,-86.80416667,30.4375,19.5792
31300,-85.87083333,30.2625,19.5792
31400,-82.82083333,30.52916667,19.5833
31500,-83.4125,30.3125,19.5833
31600,-84.90416667,30.17916667,19.5833
31700,-83.97916667,30.34583333,19.5875
31800,-85.52916667,30.2125,19.5875
31900,-84.3875,30.3875,19.5917
32000,-83.42083333,30.27083333,19.5917
32100,-83.42916667,30.57916667,19.5958
32200,-83.5125,30.3375,19.5958
32300,-84.64583333,30.1875,19.5958
32400,-83.6375,30.32083333,19.6
32500,-84.95416667,30.17083333,19.6
32600,-84.07083333,30.30416667,19.6042
32700,-85.3375,30.17083333,19.6042
32800,-83.92083333,30.30416667,19.6083
32900,-83.2375,30.60416667,19.6125
33000,-85.0375,30.27083333,19.6125
33100,-86.7875,30.52083333,19.6167
33200,-83.9375,30.27916667,19.6167
33300,-84.79583333,30.1125,19.6167
33400,-84.0875,30.27916667,19.6208
33500,-82.52916667,30.5375,19.625
33600,-83.60416667,30.24583333,19.625
33700,-84.32083333,30.52083333,19.6292
33800,-84.4125,30.2125,19.6292
33900,-87.35416667,30.40416667,19.6333
34000,-84.70416667,30.22916667,19.6333
34100,-84.37083333,30.4625,19.6375
34200,-83.42916667,30.22083333,19.6375
34300,-82.54583333,30.47083333,19.6417
34400,-85.25416667,30.17916667,19.6417
34500,-83.34583333,30.3375,19.6458
34600,-84.84583333,30.09583333,19.6458
